location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
309|ANG MO KIO AVE 1,309,ANG MO KIO AVE 1,exact_building,309 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 569953,MAYFLOWER,446.82689596021186,True,446.82689596021186
216|ANG MO KIO AVE 1,216,ANG MO KIO AVE 1,exact_building,216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216,MAYFLOWER,733.218668595242,True,733.218668595242
211|ANG MO KIO AVE 3,211,ANG MO KIO AVE 3,exact_building,211 ANG MO KIO AVENUE 3 SINGAPORE 560211,MAYFLOWER,573.0128623735093,True,573.0128623735093
202|ANG MO KIO AVE 3,202,ANG MO KIO AVE 3,exact_building,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,ANG MO KIO,547.8541508888627,True,547.8541508888627
235|ANG MO KIO AVE 3,235,ANG MO KIO AVE 3,exact_building,235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235,MAYFLOWER,440.6517534527422,True,440.6517534527422
232|ANG MO KIO AVE 3,232,ANG MO KIO AVE 3,exact_building,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232,MAYFLOWER,274.64998491852685,True,274.64998491852685
308|ANG MO KIO AVE 1,308,ANG MO KIO AVE 1,street,ANG MO KIO AVENUE 1,ANG MO KIO,679.2647499026957,False,
220|ANG MO KIO AVE 1,220,ANG MO KIO AVE 1,exact_building,220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220,MAYFLOWER,712.381662442691,True,712.381662442691
219|ANG MO KIO AVE 1,219,ANG MO KIO AVE 1,exact_building,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,MAYFLOWER,686.7843716770334,True,686.7843716770334
247|ANG MO KIO AVE 3,247,ANG MO KIO AVE 3,street,ANG MO KIO AVENUE 3,ANG MO KIO,678.0426405047817,False,
320|ANG MO KIO AVE 1,320,ANG MO KIO AVE 1,exact_building,320 ANG MO KIO AVENUE 1 STAR LEARNERS @ ANG MO KIO PTE. LTD.,ANG MO KIO,440.9019126863118,True,440.9019126863118
252|ANG MO KIO AVE 4,252,ANG MO KIO AVE 4,street,ANG MO KIO AVENUE 4,MAYFLOWER,395.8446972976463,False,
223|ANG MO KIO AVE 1,223,ANG MO KIO AVE 1,exact_building,223 ANG MO KIO AVENUE 1 SINGAPORE 560223,BRIGHT HILL,546.6478183858088,True,546.6478183858088
230|ANG MO KIO AVE 3,230,ANG MO KIO AVE 3,exact_building,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,MAYFLOWER,248.32653235458685,True,248.32653235458685
329|ANG MO KIO AVE 3,329,ANG MO KIO AVE 3,exact_building,329 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560329,ANG MO KIO,418.50694877293546,True,418.50694877293546
313|ANG MO KIO AVE 3,313,ANG MO KIO AVE 3,exact_building,313 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560313,ANG MO KIO,313.75905571298495,True,313.75905571298495
