year,quarter,rpi,qoq_percent,quarter_start,source
1990,1,24.3,,1990-01-01,HDB rpi-table.pdf (2009-Q1=100)
1990,2,24.4,0.4,1990-04-01,HDB rpi-table.pdf (2009-Q1=100)
1990,3,25.0,2.5,1990-07-01,HDB rpi-table.pdf (2009-Q1=100)
1990,4,24.7,-1.2,1990-10-01,HDB rpi-table.pdf (2009-Q1=100)
1991,1,24.9,0.8,1991-01-01,HDB rpi-table.pdf (2009-Q1=100)
1991,2,25.5,2.4,1991-04-01,HDB rpi-table.pdf (2009-Q1=100)
1991,3,25.2,-1.2,1991-07-01,HDB rpi-table.pdf (2009-Q1=100)
1991,4,25.1,-0.4,1991-10-01,HDB rpi-table.pdf (2009-Q1=100)
1992,1,25.8,2.8,1992-01-01,HDB rpi-table.pdf (2009-Q1=100)
1992,2,27.4,6.2,1992-04-01,HDB rpi-table.pdf (2009-Q1=100)
1992,3,28.0,2.2,1992-07-01,HDB rpi-table.pdf (2009-Q1=100)
1992,4,28.6,2.1,1992-10-01,HDB rpi-table.pdf (2009-Q1=100)
1993,1,30.2,5.6,1993-01-01,HDB rpi-table.pdf (2009-Q1=100)
1993,2,39.6,31.1,1993-04-01,HDB rpi-table.pdf (2009-Q1=100)
1993,3,47.7,20.5,1993-07-01,HDB rpi-table.pdf (2009-Q1=100)
1993,4,49.0,2.7,1993-10-01,HDB rpi-table.pdf (2009-Q1=100)
1994,1,50.4,2.9,1994-01-01,HDB rpi-table.pdf (2009-Q1=100)
1994,2,51.7,2.6,1994-04-01,HDB rpi-table.pdf (2009-Q1=100)
1994,3,54.6,5.6,1994-07-01,HDB rpi-table.pdf (2009-Q1=100)
1994,4,54.8,0.4,1994-10-01,HDB rpi-table.pdf (2009-Q1=100)
1995,1,57.3,4.6,1995-01-01,HDB rpi-table.pdf (2009-Q1=100)
1995,2,63.9,11.5,1995-04-01,HDB rpi-table.pdf (2009-Q1=100)
1995,3,67.7,5.9,1995-07-01,HDB rpi-table.pdf (2009-Q1=100)
1995,4,73.7,8.9,1995-10-01,HDB rpi-table.pdf (2009-Q1=100)
1996,1,80.5,9.2,1996-01-01,HDB rpi-table.pdf (2009-Q1=100)
1996,2,90.9,12.9,1996-04-01,HDB rpi-table.pdf (2009-Q1=100)
1996,3,96.4,6.1,1996-07-01,HDB rpi-table.pdf (2009-Q1=100)
1996,4,99.0,2.7,1996-10-01,HDB rpi-table.pdf (2009-Q1=100)
1997,1,98.6,-0.4,1997-01-01,HDB rpi-table.pdf (2009-Q1=100)
1997,2,97.5,-1.1,1997-04-01,HDB rpi-table.pdf (2009-Q1=100)
1997,3,93.6,-4.0,1997-07-01,HDB rpi-table.pdf (2009-Q1=100)
1997,4,88.0,-6.0,1997-10-01,HDB rpi-table.pdf (2009-Q1=100)
1998,1,81.7,-7.2,1998-01-01,HDB rpi-table.pdf (2009-Q1=100)
1998,2,78.3,-4.2,1998-04-01,HDB rpi-table.pdf (2009-Q1=100)
1998,3,74.9,-4.3,1998-07-01,HDB rpi-table.pdf (2009-Q1=100)
1998,4,72.3,-3.5,1998-10-01,HDB rpi-table.pdf (2009-Q1=100)
1999,1,71.2,-1.5,1999-01-01,HDB rpi-table.pdf (2009-Q1=100)
1999,2,72.2,1.4,1999-04-01,HDB rpi-table.pdf (2009-Q1=100)
1999,3,78.1,8.2,1999-07-01,HDB rpi-table.pdf (2009-Q1=100)
1999,4,79.8,2.2,1999-10-01,HDB rpi-table.pdf (2009-Q1=100)
2000,1,80.3,0.6,2000-01-01,HDB rpi-table.pdf (2009-Q1=100)
2000,2,79.3,-1.2,2000-04-01,HDB rpi-table.pdf (2009-Q1=100)
2000,3,77.6,-2.1,2000-07-01,HDB rpi-table.pdf (2009-Q1=100)
2000,4,75.8,-2.3,2000-10-01,HDB rpi-table.pdf (2009-Q1=100)
2001,1,73.2,-3.4,2001-01-01,HDB rpi-table.pdf (2009-Q1=100)
2001,2,72.1,-1.5,2001-04-01,HDB rpi-table.pdf (2009-Q1=100)
2001,3,70.6,-2.1,2001-07-01,HDB rpi-table.pdf (2009-Q1=100)
2001,4,69.6,-1.4,2001-10-01,HDB rpi-table.pdf (2009-Q1=100)
2002,1,69.1,-0.7,2002-01-01,HDB rpi-table.pdf (2009-Q1=100)
2002,2,69.2,0.1,2002-04-01,HDB rpi-table.pdf (2009-Q1=100)
2002,3,69.9,1.0,2002-07-01,HDB rpi-table.pdf (2009-Q1=100)
2002,4,69.9,0.0,2002-10-01,HDB rpi-table.pdf (2009-Q1=100)
2003,1,71.0,1.6,2003-01-01,HDB rpi-table.pdf (2009-Q1=100)
2003,2,72.5,2.1,2003-04-01,HDB rpi-table.pdf (2009-Q1=100)
2003,3,74.3,2.5,2003-07-01,HDB rpi-table.pdf (2009-Q1=100)
2003,4,75.1,1.1,2003-10-01,HDB rpi-table.pdf (2009-Q1=100)
2004,1,75.3,0.3,2004-01-01,HDB rpi-table.pdf (2009-Q1=100)
2004,2,76.2,1.2,2004-04-01,HDB rpi-table.pdf (2009-Q1=100)
2004,3,76.3,0.1,2004-07-01,HDB rpi-table.pdf (2009-Q1=100)
2004,4,77.1,1.0,2004-10-01,HDB rpi-table.pdf (2009-Q1=100)
2005,1,77.2,0.1,2005-01-01,HDB rpi-table.pdf (2009-Q1=100)
2005,2,73.5,-4.8,2005-04-01,HDB rpi-table.pdf (2009-Q1=100)
2005,3,73.2,-0.4,2005-07-01,HDB rpi-table.pdf (2009-Q1=100)
2005,4,73.5,0.4,2005-10-01,HDB rpi-table.pdf (2009-Q1=100)
2006,1,73.6,0.1,2006-01-01,HDB rpi-table.pdf (2009-Q1=100)
2006,2,74.3,1.0,2006-04-01,HDB rpi-table.pdf (2009-Q1=100)
2006,3,74.2,-0.1,2006-07-01,HDB rpi-table.pdf (2009-Q1=100)
2006,4,74.9,0.9,2006-10-01,HDB rpi-table.pdf (2009-Q1=100)
2007,1,75.8,1.2,2007-01-01,HDB rpi-table.pdf (2009-Q1=100)
2007,2,78.1,3.0,2007-04-01,HDB rpi-table.pdf (2009-Q1=100)
2007,3,83.2,6.5,2007-07-01,HDB rpi-table.pdf (2009-Q1=100)
2007,4,88.0,5.8,2007-10-01,HDB rpi-table.pdf (2009-Q1=100)
2008,1,91.3,3.7,2008-01-01,HDB rpi-table.pdf (2009-Q1=100)
2008,2,95.4,4.5,2008-04-01,HDB rpi-table.pdf (2009-Q1=100)
2008,3,99.4,4.2,2008-07-01,HDB rpi-table.pdf (2009-Q1=100)
2008,4,100.8,1.4,2008-10-01,HDB rpi-table.pdf (2009-Q1=100)
2009,1,100.0,-0.8,2009-01-01,HDB rpi-table.pdf (2009-Q1=100)
2009,2,101.4,1.4,2009-04-01,HDB rpi-table.pdf (2009-Q1=100)
2009,3,105.0,3.6,2009-07-01,HDB rpi-table.pdf (2009-Q1=100)
2009,4,109.0,3.8,2009-10-01,HDB rpi-table.pdf (2009-Q1=100)
2010,1,112.1,2.8,2010-01-01,HDB rpi-table.pdf (2009-Q1=100)
2010,2,116.6,4.0,2010-04-01,HDB rpi-table.pdf (2009-Q1=100)
2010,3,121.3,4.0,2010-07-01,HDB rpi-table.pdf (2009-Q1=100)
2010,4,124.4,2.6,2010-10-01,HDB rpi-table.pdf (2009-Q1=100)
2011,1,126.4,1.6,2011-01-01,HDB rpi-table.pdf (2009-Q1=100)
2011,2,130.4,3.2,2011-04-01,HDB rpi-table.pdf (2009-Q1=100)
2011,3,135.4,3.8,2011-07-01,HDB rpi-table.pdf (2009-Q1=100)
2011,4,137.7,1.7,2011-10-01,HDB rpi-table.pdf (2009-Q1=100)
2012,1,138.5,0.6,2012-01-01,HDB rpi-table.pdf (2009-Q1=100)
2012,2,140.3,1.3,2012-04-01,HDB rpi-table.pdf (2009-Q1=100)
2012,3,143.1,2.0,2012-07-01,HDB rpi-table.pdf (2009-Q1=100)
2012,4,146.7,2.5,2012-10-01,HDB rpi-table.pdf (2009-Q1=100)
2013,1,148.6,1.3,2013-01-01,HDB rpi-table.pdf (2009-Q1=100)
