category,sample_reason,location_key,geocode_query_used,geocode_query_rank,matched_address,geocode_quality_original,geocode_quality,match_validation_status,suspicious_match,suspicious_reason,latitude,longitude,nearest_mrt_station,nearest_mrt_exit,nearest_mrt_distance_reference_m,nearest_mrt_distance_m
hdb,short_distance,620|BEDOK RESERVOIR RD,620 BEDOK RESERVOIR RD,1.0,620 BEDOK RESERVOIR ROAD EUNOS HEIGHTS SINGAPORE 470620,exact_building,exact_building,accepted,False,,1.334334322263987,103.9177125592874,BEDOK NORTH,Exit C,14.659669038695075,14.659669038695075
hdb,medium_distance,605|HOUGANG AVE 4,605 HOUGANG AVE 4,1.0,605 HOUGANG AVENUE 4 SINGAPORE 530605,exact_building,exact_building,accepted,False,,1.370967420464051,103.8864968559301,HOUGANG,Exit C,622.8159138901216,622.8159138901216
hdb,long_distance,3|LIM CHU KANG RD,LIM CHU KANG RD,2.0,LIM CHU KANG ROAD,street,street,accepted,False,,1.401184988138102,103.6937793926664,CHOA CHU KANG,Exit D,5864.72229551375,
hdb,fallback_query,103|DEPOT RD,DEPOT RD,2.0,1 DEPOT ROAD DEFENCE SCIENCE & TECHNOLOGY AGENCY (DEPOT ROAD),street,street,accepted,False,,1.279463044675503,103.8161772298657,REDHILL,Exit A,1105.4225779244953,
ec,short_distance,ESPARINA RESIDENCES|COMPASSVALE BOW|19,ESPARINA RESIDENCES COMPASSVALE BOW,1.0,111 COMPASSVALE BOW ESPARINA RESIDENCES SINGAPORE 544998,street,project,accepted,False,,1.381892863220287,103.8913744130347,BUANGKOK,A,237.9185819069869,237.9185819069869
ec,medium_distance,TENET|TAMPINES STREET 62|18,TENET TAMPINES STREET 62,1.0,71 TAMPINES STREET 62 TENET SINGAPORE 529699,street,project,accepted,False,,1.368015168556946,103.9432024448624,PASIR RIS,Exit B,853.5654289699348,853.5654289699348
ec,long_distance,PARC GREENWICH|FERNVALE LANE|28,PARC GREENWICH FERNVALE LANE,1.0,31 FERNVALE LANE PARC GREENWICH SINGAPORE 797503,street,project,accepted,False,,1.389150743490752,103.8703360914674,BUANGKOK,A,2586.479285836235,2586.479285836235
ec,fallback_query,PRIVE|PUNGGOL FIELD|19,PUNGGOL FIELD,3.0,PUNGGOL FIELD,street,street,accepted,False,,1.398972481809017,103.9063710133693,PUNGGOL,Exit B,808.2623004167024,
landed,short_distance,LANDED HOUSING DEVELOPMENT|FORT ROAD|15,FORT ROAD,2.0,FORT ROAD,street,street,accepted,False,,1.298344844369058,103.8853453324675,KATONG PARK,Exit 2,30.938218264223796,
landed,medium_distance,LANDED HOUSING DEVELOPMENT|LORONG H TELOK KURAU|15,LORONG H TELOK KURAU,2.0,LORONG H TELOK KURAU,street,street,accepted,False,,1.316112408231145,103.9099867594455,KEMBANGAN,Exit A,627.7599346100027,
landed,long_distance,LANDED HOUSING DEVELOPMENT|COVE WAY|04,COVE WAY,2.0,COVE WAY,street,street,accepted,False,,1.241634240411433,103.8390738656692,HARBOURFRONT,Exit A,3192.2411206619176,
landed,fallback_query,ALWYN PARK|HONG LEE PLACE|19,HONG LEE PLACE,3.0,HONG LEE PLACE,street,street,accepted,False,,1.359453786311644,103.8746358732796,SERANGOON,Exit E,979.1625620804906,
landed,suspicious,CHUAN GREEN|CHUAN DRIVE|19,CHUAN GREEN,2.0,CHUAN GREEN PLAYGROUND,project,unresolved,rejected,True,landed_project_or_street_evidence_mismatch,1.360508246039689,103.8660431106805,LORONG CHUAN,Exit A,1015.9574272396429,
