category,model,feature_variant,evaluation_split,training_policy,rows,median_target,mae,rmse,r2,mae_percent_of_median
hdb,training_median,none,validation,all_transactions,53586,570000.0,305213.25642406597,355569.9519558943,-2.7842373663998607,53.546185337555436
hdb,ridge,without_mrt,validation,all_transactions,53586,570000.0,86123.93439954853,120866.22288605907,0.5627415967449797,15.10946217535939
hdb,ridge,with_mrt,validation,all_transactions,53586,570000.0,85885.82734211528,119438.00122346425,0.5730143128110687,15.067689007388648
hdb,hist_gradient_boosting,without_mrt,validation,all_transactions,53586,570000.0,63769.888560961386,85188.72068374544,0.7827836777724655,11.187699747537085
hdb,hist_gradient_boosting,with_mrt,validation,all_transactions,53586,570000.0,62799.105504732775,82419.38782769057,0.796676754906686,11.017386930654872
hdb,hist_gradient_boosting,without_mrt,test,all_transactions,28338,628000.0,120318.9426614085,140865.2945776938,0.5238064284475681,19.159067302772055
hdb,hist_gradient_boosting,with_mrt,test,all_transactions,28338,628000.0,120335.929073246,138261.04358661606,0.5412509542697682,19.161772145421338
ec,training_median,none,validation,all_transactions,3245,1456000.0,249269.58859784284,331119.1296023035,-0.39915038115963797,17.120164052049645
ec,ridge,without_mrt,validation,all_transactions,3245,1456000.0,86251.00909072376,106616.47686900875,0.8549410578685622,5.923833041945314
ec,ridge,with_mrt,validation,all_transactions,3245,1456000.0,89735.07429595603,111856.82878509474,0.8403309075421455,6.163123234612365
ec,hist_gradient_boosting,without_mrt,validation,all_transactions,3245,1456000.0,138457.54749811155,177147.8995891145,0.5995319562953655,9.509446943551618
ec,hist_gradient_boosting,with_mrt,validation,all_transactions,3245,1456000.0,137309.94852140496,175753.32446945057,0.6058124087048531,9.430628332514077
ec,ridge,without_mrt,test,all_transactions,5832,1650000.0,130501.52401630791,160181.95197852905,0.7685807136286751,7.909183273715631
ec,ridge,with_mrt,test,all_transactions,5832,1650000.0,138798.25459201392,167701.70795344072,0.7463427042900881,8.412015429819025
landed,training_median,none,validation,all_transactions,1695,4428000.0,2126922.404719764,4480109.187483057,-0.10393629553577743,48.033477974701086
landed,ridge,no_mrt,validation,all_transactions,1695,4428000.0,1097272.6912108727,1785190.0201023966,0.8247186474110164,24.780322746406338
landed,hist_gradient_boosting,no_mrt,validation,all_transactions,1695,4428000.0,802367.5263628023,1441100.1783296787,0.8857765800695175,18.12031450683835
landed,hist_gradient_boosting,no_mrt,test,all_transactions,3203,5100000.0,1196569.1183343716,2908154.5146626052,0.7159007592812152,23.462139575183755
landed,hist_gradient_boosting,no_mrt,test,exclude_multi_unit,3203,5100000.0,1205641.970790837,2944451.685461361,0.7087647205900913,23.640038642957588
