dimension,group,rows,median_target,mae,median_absolute_error,mean_signed_error,mae_percent_of_median
project_name,NORTHOAKS,48,1189444.0,264266.1310814941,227969.74907955097,264266.1310814941,22.217618574854647
project_name,NORTHWAVE,73,1270000.0,237751.8730261365,242875.63089741766,233470.46966503086,18.720619923317834
project_name,SIGNATURE AT YISHUN,59,1361000.0,225215.3094300002,239959.67770860973,225215.3094300002,16.547781736223378
project_name,SEA HORIZON,50,1629444.0,220747.8748123044,224308.08603316336,207282.47008127059,13.54743549408905
project_name,WATERCOLOURS,46,1267500.0,210274.750234663,208751.9878193559,210274.750234663,16.589723884391557
project_name,HUNDRED PALMS RESIDENCES,129,1820000.0,203104.40750304665,149247.97630718257,-199920.9169711651,11.159582829837728
project_name,FORESTVILLE,50,1475000.0,197337.0871883539,216385.81723339634,197337.0871883539,13.378785572091791
project_name,BLOSSOM RESIDENCES,53,1300000.0,193018.88728820224,203479.46847104817,192913.8677787698,14.847606714477095
project_name,CITYLIFE@TAMPINES,55,2010000.0,191568.29432298764,113834.96432520798,-33117.18178393544,9.530760911591425
project_name,1 CANBERRA,59,1395000.0,191210.20858953052,149818.69777092966,188342.41138852885,13.70682498849681
project_name,WOODSVALE,33,1188000.0,190086.8349849205,179276.7049040317,190086.8349849205,16.00057533543102
project_name,WHITEWATER,35,1300000.0,186120.8777830192,173420.120730954,186120.8777830192,14.316990598693785
project_name,THE CRITERION,57,1320000.0,182368.59792351827,184979.75571162766,181733.87785286625,13.815802872993808
project_name,NORTH GAIA,30,1429000.0,174535.12987135092,198663.45457532757,172553.75017539004,12.21379495250881
project_name,AUSTVILLE RESIDENCES,75,1400000.0,174400.90014068407,185478.6786121549,164433.50027188341,12.457207152906005
project_name,LUSH ACRES,38,1586000.0,170272.17254288218,173558.02755703987,138089.0862073265,10.735950349488158
project_name,SOL ACRES,127,1295000.0,167452.423677152,145488.56231871108,153726.00953693315,12.930689087038763
project_name,BELLEWOODS,44,1420000.0,160541.65629633208,165643.5818081278,157753.7847072085,11.305750443403667
project_name,NOVO PLACE,97,1447000.0,159951.39976763638,168552.5968959441,152636.00647162416,11.054001366111706
project_name,ECOPOLITAN,36,1634000.0,158115.38200805683,155548.06984613626,137166.59098337602,9.676583966221347
project_name,THE BROWNSTONE,61,1460000.0,147484.18019306514,154047.91329780663,147484.18019306514,10.101656177607202
project_name,LUMINA GRAND,74,1511500.0,143825.90580902228,171820.96339162334,112986.44764733207,9.515441998612125
project_name,THE RIVERVALE,30,1460000.0,139803.9466454438,120513.58993990498,139385.91748716214,9.575612783934506
project_name,ESPARINA RESIDENCES,63,1750000.0,138205.144343229,122772.09866902162,50833.585122538236,7.897436819613087
project_name,THE VALES,64,1467500.0,136855.08002024927,135528.00051452732,54353.41717457627,9.325729473270819
project_name,THE TERRACE,66,1630000.0,130862.9598661739,122801.65168098896,57269.43113795894,8.02840244577754
project_name,WATERBAY,39,1685000.0,128892.57118739285,114964.82069377322,60189.42145727642,7.649410752961
project_name,THE AMORE,45,1580000.0,125642.85886341722,125016.59897972713,70639.73483596972,7.952079674899824
project_name,PARC LIFE,90,1457500.0,125528.58995816225,120844.25333509268,120525.7096858473,8.61259622354458
project_name,HERON BAY,43,1580000.0,125325.97651111725,119834.42342760973,46938.449639007435,7.932023829817547
project_name,LAKE LIFE,34,1676194.0,123985.92993392597,118637.68818751781,122863.20573021752,7.39687231513333
project_name,THE FLORIDA,32,1472500.0,122685.3408235463,114136.53932041035,116379.98978732934,8.331771872566812
project_name,THE RAINFOREST,33,1450000.0,122565.59278617351,119263.43654118315,107370.52249853748,8.452799502494724
project_name,ARC AT TAMPINES,48,1421944.0,122150.37722482406,114166.08944892371,104293.91246079619,8.59037889149109
project_name,INZ RESIDENCE,76,1530000.0,118716.60659556066,109597.81512688647,101689.58030295673,7.759255333043181
project_name,WESTWOOD RESIDENCES,63,1500888.0,118157.37172189585,105355.09432736272,116097.12742735622,7.872497596216096
project_name,TWIN FOUNTAINS,37,1498000.0,117806.03171543936,107300.7668553628,113690.06701507022,7.86422107579702
project_name,PRIVE,68,1700000.0,116903.45668244499,92474.88495854381,35296.02576372992,6.876673922496764
project_name,RIVELLE TAMPINES,558,2002000.0,116737.4355897683,101896.16327411367,-36188.509857171535,5.831040738749665
project_name,COASTAL CABANA,619,1796000.0,113127.81506311375,114257.30144288251,78185.01925023511,6.2988761170998755
project_name,THE TOPIARY,96,1639444.0,108772.50121228564,100659.53532795073,56941.29037718927,6.634718917650474
project_name,RIVERCOVE RESIDENCES,126,1604444.0,107919.65526636894,102182.49475148809,78786.11956628438,6.726296166545478
project_name,RIVERPARC RESIDENCE,35,1680000.0,106950.98202320392,79915.5597693862,35101.57740999733,6.366129882333566
project_name,AURELLE OF TAMPINES,757,1606000.0,106701.19001997176,113572.69151971303,40255.522211946496,6.643909714817669
project_name,TWIN WATERFALLS,66,1707500.0,106570.42446295811,63699.98985899333,27110.805100310303,6.241313292120534
project_name,THE TAMPINES TRILLIANT,83,1878000.0,106340.96336356063,74895.86394852959,-77670.57613715129,5.662458113075646
project_name,THE VISIONAIRE,77,1497771.0,102958.60264292898,96812.64693239238,93209.05217361038,6.87412178783866
project_name,TREASURE CREST,43,1690000.0,101781.16487027978,100006.02405964257,41235.954851207585,6.022554134336082
project_name,SKYPARK RESIDENCES,43,1920000.0,95794.49288059346,82803.0408102062,15876.262128882034,4.9892965041975765
project_name,OTTO PLACE,596,1696000.0,95460.94573534287,84389.36065214896,65336.690237069975,5.62859349854616
project_name,BELLEWATERS,75,1690000.0,94614.95436774309,85800.1605077309,71999.57720154563,5.598518009925627
project_name,BELYSA,35,1518000.0,93675.52715600074,97316.14880910888,90072.36823874667,6.170983343610062
project_name,WANDERVALE,37,1660000.0,66612.31221384981,59976.31282171956,55831.09228589244,4.012789892400591
project_name,THE FLORAVALE,34,1447500.0,60681.15316463782,41068.30654942151,37466.25974412073,4.192134933653736
sale_type,RESALE,3072,1530000.0,147810.07888432793,132602.621437183,97864.89385936804,9.660789469563918
sale_type,NEW SALE,2760,1733000.0,111236.34990233775,105849.84852193936,46057.45063863145,6.418716093614411
market_segment,OUTSIDE CENTRAL REGION,5814,1650000.0,130487.51990123454,119703.27658455737,73894.6276824787,7.90833453946876
price_band,low,263,1080000.0,245081.0963233409,241891.39654594613,245081.0963233409,22.692694104013047
price_band,lower_middle,384,1255000.0,197130.08181591798,191986.60432403034,197130.08181591798,15.70757624031219
price_band,upper_middle,927,1410000.0,165612.26277988698,165774.19101897767,164703.20575618942,11.745550551765035
price_band,high,4258,1742500.0,109771.7333761863,94771.10750756995,31687.49793618193,6.29966906032633
mrt_distance_band,1000-2000m,1474,1509444.0,158521.56837143013,146564.8379461685,103454.7636049537,10.501984066413204
mrt_distance_band,0-500m,881,1840000.0,127738.52617437576,113016.10217130138,4214.103724203438,6.9423112051291165
mrt_distance_band,500-1000m,3306,1654000.0,119721.52569693848,113015.50637269719,79788.1796684455,7.238302641894709
mrt_distance_band,missing/ineligible,68,1700000.0,116903.45668244499,92474.88495854381,35296.02576372992,6.876673922496764
mrt_distance_band,2000m+,103,1650000.0,108132.57976223035,99304.78828721726,52181.73813652385,6.553489682559415
