dimension,group,rows,median_target,mae,median_absolute_error,mean_signed_error,mae_percent_of_median
flat_type,EXECUTIVE,1690,900000.0,182870.5562377683,171286.47823237348,-182864.60531780924,20.318950693085366
flat_type,5 ROOM,6495,738000.0,142875.45434333614,127163.10832280689,-142578.5643885635,19.359817661698663
flat_type,4 ROOM,12295,630000.0,124658.33859267147,114021.92001490563,-124519.23493667555,19.787037871852615
flat_type,3 ROOM,6916,445000.0,84489.1387614704,81865.05734989996,-84208.57397561763,18.986323317184358
flat_type,2 ROOM,930,370000.0,58522.72257590728,58904.37018701882,-57897.00150674465,15.816952047542507
town,BISHAN,422,847000.0,199245.51531865017,180493.45182024327,-199019.1891242551,23.523673591340042
town,SERANGOON,448,670000.0,157034.74660880983,144305.94636424285,-156979.94478822514,23.438021881911915
town,QUEENSTOWN,697,820000.0,151303.9329254729,140973.36509994592,-150456.3010552371,18.451699137252795
town,TOA PAYOH,1180,780000.0,147655.18099659012,137754.925321109,-147102.85524612726,18.930151409819246
town,TAMPINES,2168,710000.0,140165.35243741696,134458.50048658488,-139853.22929305708,19.74159893484746
town,BUKIT MERAH,1048,776888.5,138269.44789545218,114778.01057171164,-137557.58472675062,17.797849742331387
town,KALLANG/WHAMPOA,886,720250.0,136221.93254642418,122286.18667729045,-135772.5286328201,18.9131457891599
town,PASIR RIS,731,715000.0,136145.78455074105,134155.9989164765,-136039.11564140863,19.041368468635113
town,SENGKANG,2152,662000.0,136023.43083223788,131151.81636580444,-136013.29911003326,20.547346047165842
town,PUNGGOL,1763,672888.0,135414.07678647217,131541.7741697362,-135414.07678647217,20.12431144357934
town,CLEMENTI,622,590000.0,125202.34222867318,88381.26206866483,-124274.52892898812,21.220735970961556
town,GEYLANG,731,580000.0,121302.41310148242,97702.99276017543,-121056.37572772714,20.914209155428004
town,HOUGANG,1477,615000.0,118905.05583064792,109081.75985399121,-118795.47481988143,19.33415541961755
town,BUKIT PANJANG,907,610000.0,116933.32407320687,104717.82063086954,-116933.32407320687,19.169397389050303
town,BEDOK,1374,545000.0,116583.71095074479,100955.71992113485,-116458.06958784403,21.391506596466932
town,SEMBAWANG,1332,620000.0,112353.78996415304,107331.51177013956,-112353.78996415304,18.121579026476297
town,ANG MO KIO,1068,500000.0,112316.89897698836,92027.38868876145,-112253.82582933012,22.46337979539767
town,WOODLANDS,1996,590000.0,107087.40657211684,102297.0841254841,-106792.08288291082,18.150407893579125
town,YISHUN,1915,545000.0,97434.38057792003,93202.71038109146,-97301.7869149453,17.87786799594863
town,CHOA CHU KANG,1170,595000.0,91623.41429432125,88207.4035038813,-91527.17155959964,15.398893158709456
town,JURONG EAST,545,523000.0,84781.34222386044,75424.46254014492,-84496.43462168536,16.210581687162605
town,BUKIT BATOK,1485,605888.0,81286.6011490209,76482.13757767779,-81059.76849167142,13.416110097744287
town,JURONG WEST,1786,568944.0,81225.1797854597,74884.70504614717,-81104.69480191162,14.276480600104701
price_band,high,25814,645944.0,127167.32820084947,113589.3657412547,-127028.23340382405,19.687051540203097
price_band,upper_middle,2477,370000.0,50826.58264194025,51883.955921626475,-49839.0914176986,13.736914227551418
mrt_distance_band,missing/ineligible,774,630000.0,141783.85814764444,125820.72603042377,-141484.66096565578,22.50537430914991
mrt_distance_band,0-500m,9446,660000.0,139486.2465406073,122826.32597014861,-139296.74868324754,21.134279778879893
mrt_distance_band,2000m+,430,635000.0,124418.49186564161,125829.59874340138,-124418.49186564161,19.59346328592781
mrt_distance_band,500-1000m,11212,607500.0,110917.58324632928,101124.17659364888,-110688.0181692326,18.258038394457493
mrt_distance_band,1000-2000m,6476,628000.0,105874.5942230886,100123.19672559333,-105631.3137427241,16.859011818963154
recent_period,2026-01,2346,630000.0,134698.90951370995,121427.12804651496,-134581.0413676587,21.38077928789047
recent_period,2026-02,900,629444.0,132333.5792128753,118187.58798824676,-132147.5996331451,21.023884446094538
recent_period,2025-02,2091,620000.0,126716.70816201503,116804.43545118917,-126624.70053262339,20.438178735808876
recent_period,2025-04,2297,630000.0,126517.49597305524,114468.76108699304,-126356.20438953937,20.082142217945275
recent_period,2025-05,2266,635000.0,125863.4027476245,112607.26489447389,-125760.77853795707,19.82100830671252
recent_period,2025-03,1899,625000.0,125861.11290591204,114327.51546551386,-125818.81962312035,20.137778064945927
recent_period,2025-01,2313,612888.0,121605.7257415692,111151.0804666084,-121385.71285291505,19.841427102760896
recent_period,2025-06,2260,632400.0,120926.76618788026,108874.01832793618,-120675.67680463575,19.121879536350452
recent_period,2025-07,2562,628000.0,118238.99278623176,106983.47396919402,-118007.72911609104,18.827865093349004
recent_period,2025-08,2203,622000.0,116737.25795143448,103163.89278493274,-116672.80114745602,18.768047902159886
recent_period,2025-09,2174,645000.0,114043.06176860615,100756.05472094534,-113901.69001551812,17.681094847845912
recent_period,2025-10,1338,620000.0,106959.28847589443,92387.0320244572,-106717.84939900442,17.251498141273295
recent_period,2025-12,2029,635000.0,105650.40047739343,87785.66239223583,-105152.28434262131,16.637858342896603
recent_period,2025-11,1660,618000.0,105487.24407894313,87860.77120197163,-104644.23564182676,17.069133346107304
