dimension,group,rows,median_target,mae,median_absolute_error,mean_signed_error,mae_percent_of_median
property_type,DETACHED HOUSE,376,12175000.0,3289769.9085072433,1927355.560239931,-1919193.9509814107,27.020697400470173
property_type,SEMI-DETACHED HOUSE,1012,6250000.0,1194642.4144082763,925504.620201108,-963662.311068192,19.11427863053242
property_type,TERRACE HOUSE,1815,4380000.0,780021.8311091745,595596.5350135881,-660990.3424409595,17.808717605232296
postal_district,10,235,9625000.0,2609542.6598635814,1265296.8639354445,-1679562.5244620396,27.112131531050196
postal_district,11,153,11100000.0,2465095.222264411,1242584.2689644527,-1435741.039798241,22.208065065445144
postal_district,15,416,5759400.0,1393538.8090675673,1008476.7132421797,-1056288.0924501868,24.195902508378776
postal_district,21,133,6368000.0,1384379.5273403712,914992.685577916,-379019.5694608867,21.739628255973162
postal_district,19,552,5055000.0,1081926.4245040752,808409.7156827874,-1016456.220814511,21.40309445111919
postal_district,13,166,4700000.0,1061127.0479714377,812827.5547293816,-967356.9154381366,22.577171233434846
postal_district,14,126,5225000.0,985170.1916594243,808699.6558367598,-879679.5227547538,18.854931897788024
postal_district,20,249,5150000.0,974729.7971471671,693684.4191857278,-835100.1085865726,18.926792177614896
postal_district,16,275,4618000.0,891308.4672342993,686899.5236807256,-766341.6417390633,19.30074636713511
postal_district,5,67,4800000.0,756609.0955956752,510112.49335465115,-371998.3324003045,15.762689491576564
postal_district,17,86,3734000.0,728719.1932459793,633342.4476633521,-699062.8715352133,19.515779144241545
postal_district,28,287,4488000.0,719464.0899845058,585725.9572422085,-632735.4294973622,16.030839794663677
postal_district,26,118,4540000.0,674205.8973452295,583307.7669022102,-626823.2000314126,14.850350161789196
postal_district,23,105,3980000.0,648501.6971353428,368776.4038923932,-442679.45653475425,16.29401249083776
postal_district,27,64,3869000.0,527759.4095042811,384623.8332820558,-410318.63388359285,13.640718777572529
postal_district,22,48,2495000.0,468524.65366134065,445891.04895642004,-443608.14041305665,18.778543232919464
postal_district,18,32,2835000.0,372617.7026947221,235421.09454032546,109481.40569900678,13.143481576533407
market_segment,CORE CENTRAL REGION,416,10000000.0,2638456.2168135294,1273234.946109213,-1587763.6886988638,26.384562168135293
market_segment,REST OF CENTRAL REGION,644,5327944.0,1231373.1367066572,833600.162170972,-754524.5056246798,23.111600585641614
market_segment,OUTSIDE CENTRAL REGION,2143,4720999.0,919770.950167772,664742.7710809177,-816666.9061032857,19.482549141988212
price_band,high,1112,8134500.0,2214173.776926657,1650682.9063994628,-1742455.6096958756,27.21954363423268
price_band,upper_middle,1133,5000000.0,796571.1193079394,727531.2280560662,-685534.1002552968,15.931422386158788
price_band,low,358,2750000.0,553930.0495136277,431633.7902920799,-147493.17273800043,20.142910891404643
price_band,lower_middle,600,3945500.0,497813.2609980566,370106.4753954327,-215695.5441484886,12.617241439565495
unit_policy,single_unit,3203,5100000.0,1205641.970790837,741421.7665977413,-904321.1538870941,23.640038642957588
unit_policy,multi_unit,4,8359000.0,454343.4780320964,460567.9245171121,-140954.99951510748,5.435380763633167
