dimension,group,rows,actual_mean,predicted_mean,mean_residual_prediction_minus_actual,mae,absolute_error_total,row_share_percent,absolute_error_share_percent
town,ANG MO KIO,2105,549246.4303467934,488989.9794970218,-60256.45084977153,62265.37821189401,131068621.13603689,3.928264845295413,3.8948786665499973
town,BEDOK,2626,543969.0578827113,483198.05140836484,-60771.00647434647,63079.06679898527,165645629.41413534,4.90053372149442,4.9223805257151305
town,BISHAN,762,802779.6049868766,679866.774698323,-122912.83028855367,125828.92360830419,95881639.78952779,1.4220132124062255,2.8492506451445765
town,BUKIT BATOK,3142,572724.1886569065,538308.3372544145,-34415.85140249192,40055.83261147181,125855426.06524442,5.863471802336431,3.7399616308033656
town,BUKIT MERAH,2024,712041.6629249012,635071.727812635,-76969.93511226623,81582.05452210754,165122078.35274568,3.777105960512074,4.906822508531599
town,BUKIT PANJANG,1625,578064.4055384615,517528.1526989694,-60536.25283949212,61695.036279202395,100254433.9537039,3.032508491023775,2.9791940484980515
town,BUKIT TIMAH,108,865158.2962962963,690088.6935652813,-175069.60273101504,175188.83233494285,18920393.892173827,0.20154517971111857,0.562244707349631
town,CENTRAL AREA,374,727782.3235294118,605879.2373115466,-121903.08621786519,125890.81452399438,47083164.6319739,0.697943492703318,1.3991389540018275
town,CHOA CHU KANG,2421,559558.239157373,519807.81448441715,-39750.42467295587,42453.38364125721,102779641.79548371,4.517971111857575,3.0542339632107023
town,CLEMENTI,1119,606670.1849865952,548892.1559883544,-57778.02899824079,63247.93841253257,70774443.08362395,2.0882320008957564,2.103156851076178
town,GEYLANG,1300,574786.2529076923,505146.28298125195,-69639.96992644035,75449.53820855299,98084399.67111889,2.42600679281902,2.914708589204556
town,HOUGANG,2880,588219.435638889,529224.2579639335,-58995.17767495541,61413.64941417132,176871310.3128134,5.374538125629829,5.25596658674784
town,JURONG EAST,1033,520489.0600193611,483183.3812881859,-37305.678731175205,42344.62754368078,43742000.25262224,1.9277423207554212,1.299851803883213
town,JURONG WEST,3522,522076.5285746735,487875.36507912754,-34201.16349554597,38788.118291752566,136611752.62355253,6.572612249468144,4.059600202410194
town,KALLANG/WHAMPOA,1706,660961.367971864,585506.4460284311,-75454.92194343291,78454.16146476503,133842799.45888913,3.1836673758071137,3.977317070747963
town,MARINE PARADE,286,581855.9716083916,520575.24125131976,-61280.73035707183,64961.1399646856,18578886.02990008,0.5337214944201844,0.5520963463178279
town,PASIR RIS,1306,676770.485451761,603238.4339238121,-73532.05152794896,73897.04762644482,96509544.20013694,2.4372037472474153,2.867909661103674
town,PUNGGOL,4111,617015.0775966918,547931.0489589598,-69084.02863773204,69797.10989509342,286935918.7787291,7.671779942522301,8.526683038484485
town,QUEENSTOWN,1297,679999.8064764842,609603.3115844821,-70396.49489200211,75503.70880302276,97928310.31752053,2.420408315604822,2.91007018614411
town,SEMBAWANG,2020,559086.4727722772,508305.2323127916,-50781.24045948563,51923.43743033289,104885343.60927244,3.7696413242264772,3.116807697500079
town,SENGKANG,4071,611352.3903217883,541315.6063557237,-70036.78396606454,70859.19882538117,288467798.41812676,7.59713357966633,8.572204882504035
town,SERANGOON,860,639990.5860465117,557608.5402485327,-82382.04579797896,83908.42385894715,72161244.51869455,1.6048968014033516,2.1443675030032416
town,TAMPINES,3595,628198.9769123783,556823.5165729461,-71375.46033943217,72881.87930082208,262010356.08645537,6.708841861680289,7.78598674107605
town,TOA PAYOH,1528,628122.2983507854,552791.859855726,-75330.43849505935,79511.23874713766,121493172.80562635,2.851491061098048,3.610331464469807
town,WOODLANDS,4098,559397.120761347,506967.12429400586,-52429.996467341116,54103.11343692693,221714558.86452654,7.64751987459411,6.588543450752436
town,YISHUN,3667,520132.1117752932,471890.2554607114,-48241.856314581724,49612.76234359876,181929999.51397666,6.843205314821035,5.406292274769442
flat_type,1 ROOM,17,249705.88235294117,229426.23394452644,-20279.64840841475,20501.672373073518,348528.4303422498,0.03172470421378718,0.010356986563681427
flat_type,2 ROOM,1486,331879.833781965,312037.0014333455,-19842.8323486195,28129.041408332392,41799755.532781936,2.77311238009928,1.2421354148729569
flat_type,3 ROOM,13148,426367.36511408584,388008.8300676423,-38358.53504644347,41310.237189569234,543146998.5684563,24.536259470757287,16.1403365594978
flat_type,4 ROOM,23345,606299.6070327694,545239.437813144,-61060.169219625386,63315.926035119934,1478110293.2898748,43.5654835218154,43.92401627669072
flat_type,5 ROOM,12311,708105.2883112663,633617.7913689929,-74487.49694227343,76968.92631658548,947564451.8834838,22.97428432799612,28.15813988759046
flat_type,EXECUTIVE,3270,853810.6723669724,747212.1402729367,-106598.53209403582,107827.58321527246,352596197.11394095,6.102340163475534,10.477865671756554
flat_type,MULTI GENERATION,9,1031555.5555555555,855261.9158076657,-176293.6397478899,176293.6397478899,1586642.757731009,0.016795431642593214,0.04714920302784396
