split,period_level,transaction_year,rows,actual_mean,actual_median,predicted_mean,predicted_median,mean_residual_prediction_minus_actual,mae,transaction_quarter
train,year,1990,12505,68086.14226309476,52500.0,69281.41357743605,51367.28544431618,1195.2713143412875,8258.768468918743,
train,year,1991,12855,73588.93893426683,57000.0,73693.10354395743,54606.02126805292,104.1646096906147,9790.702925246524,
train,year,1992,14503,84372.6357305385,64000.0,80800.18826974597,61221.29476397113,-3572.4474607925417,13853.197737118538,
train,year,1993,18116,132807.7197504968,103000.0,135175.78225907928,106768.11977442962,2368.0625085824936,17528.607672966355,
train,year,1994,26373,172619.5299359193,152000.0,172349.29997834036,146176.98284436547,-270.229957578956,15877.328702522389,
train,year,1995,27289,212122.10322840704,188000.0,213741.79194579483,189051.65168111553,1619.6887173878029,14790.683446272615,
train,year,1996,34919,279282.3377530857,248000.0,276209.8494256418,253852.00703953474,-3072.4883274439094,18968.174288906313,
train,year,1997,31759,308213.91854277527,290000.0,304849.94609583245,294358.49717387854,-3363.9724469428015,16028.166595939885,
train,year,1998,51095,257637.9121636168,240000.0,257218.52434044197,238938.42226591756,-419.3878231748319,11565.94873860663,
train,year,1999,57782,252302.74052473088,236000.0,252932.9751237348,234338.66491139072,630.2345990039188,12332.624069467958,
train,year,2000,34862,258056.8363341174,239000.0,254599.49409945347,237120.2546153576,-3457.3422346638836,12595.566811992741,
train,year,2001,38055,243469.59989725397,225000.0,243186.05807447282,225213.33641031286,-283.5418227811696,11336.08459126212,
train,year,2002,36098,234834.02845116073,215000.0,235382.1136211473,220767.2060478509,548.0851699865636,11732.452994604839,
train,year,2003,29003,231343.0078457401,217000.0,230669.24614585892,217010.53669490153,-673.761699881161,13986.262053939201,
train,year,2004,29112,235169.37321379498,223500.0,230940.09041706735,219717.25842218735,-4229.282796727663,17763.170135793076,
train,year,2005,30045,234165.10774771177,225000.0,234506.1797929345,224038.19888878585,341.0720452227613,16003.856157042583,
train,year,2006,27427,236079.49280453566,228000.0,237810.00917804023,225556.73141296796,1730.5163735045423,13321.34870503156,
train,year,2007,26982,262276.6086201912,250000.0,259280.73037340504,243990.0061382476,-2995.8782467862043,17611.30929786132,
train,year,2008,27262,317141.8734091409,305000.0,317370.6439804886,305974.2082655935,228.77057134763277,20418.28280697437,
train,year,2009,30482,337913.305578046,330000.0,338513.3825853326,331269.4916437376,600.0770072865214,17916.284624125343,
train,year,2010,34854,379939.44006541575,365944.0,380477.7237485593,372358.36119892116,538.2836831435349,20474.000486412617,
train,year,2011,22281,425382.29789910687,410000.0,425834.20813921053,415865.00887129316,451.91024010365715,20009.760132515887,
train,year,2012,23198,461492.566305716,445000.0,459019.3066078911,448583.7448339553,-2473.259697824924,20501.31211040521,
train,year,2013,16097,476441.00791638193,455000.0,466527.60977905715,453697.20715123974,-9913.39813732478,22746.56846021258,
train,year,2014,16096,442716.0500316849,420000.0,442357.3762832878,423557.4269420863,-358.673748397094,22165.150256232857,
train,year,2015,17780,434709.55795950507,405000.0,433776.8569452886,410239.66636232624,-932.7010142164871,23532.47695422651,
train,year,2016,19373,438838.9645589222,410000.0,436448.3361200655,413125.70590607653,-2390.6284388567146,24010.441940456032,
train,year,2017,20509,443888.5205714564,410000.0,442276.5818967095,416777.7712965806,-1611.9386747468914,25405.974548296006,
train,year,2018,21561,441282.06370344607,408000.0,439922.52494305396,412390.18776783015,-1359.5387603921101,26667.086352582734,
train,year,2019,22186,432137.9129018299,400000.0,433018.0880881259,408893.3922795381,880.1751862959628,25845.035154272224,
train,year,2020,23333,452279.38497064245,425000.0,450587.04933032574,426784.76786140195,-1692.3356403166742,25347.633742777543,
train,year,2021,29087,511381.2390012721,483000.0,508391.2983952176,488642.5946916008,-2989.9406060544334,26610.885401722826,
train,year,2022,26720,549714.3307151946,525000.0,542629.6219583108,526472.6927001129,-7084.708756883777,27481.95057141122,
train,quarter,1990,3588,66348.82357859531,52000.0,66502.47316683197,49993.68193613692,153.64958823664557,7746.301862357655,1.0
train,quarter,1990,2649,66757.55228388071,50000.0,67011.81983440176,49855.88274072956,254.26755052104855,7814.7447662049035,2.0
train,quarter,1990,3348,69108.54898446833,54000.0,71109.53233867393,53145.06520408708,2000.98335420559,8543.669913315442,3.0
train,quarter,1990,2920,70253.92191780821,56000.0,72658.96508631307,54283.7213954232,2405.043168504844,8964.62426925778,4.0
train,quarter,1991,2923,71742.58877865208,55000.0,70919.12879613091,51601.90490060804,-823.4599825211602,9140.416296593656,1.0
train,quarter,1991,2701,72851.87671232877,57000.0,73098.718532529,53362.78017189433,246.84182020024232,9371.108719066253,2.0
train,quarter,1991,3616,76079.86061946902,59000.0,76416.63816614656,57994.46295869532,336.77754667751753,10330.265072691827,3.0
train,quarter,1991,3615,73140.94827109267,55000.0,73655.88664490607,54002.36199833249,514.9383738134012,10090.30321329162,4.0
train,quarter,1992,3269,77189.96573875802,58000.0,73968.1683523892,54059.25735005333,-3221.7973863688335,11509.240050371858,1.0
train,quarter,1992,3266,83121.03184323332,63100.0,79176.15231544644,61449.2373085445,-3944.8795277868744,13531.967072242876,2.0
train,quarter,1992,3944,87272.51622718053,65800.0,83652.01918748593,65037.72159182458,-3620.497039694604,14583.98486923659,3.0
train,quarter,1992,4024,88381.27335984095,68000.0,84873.33772228453,65107.490927758474,-3507.9356375564275,15301.83406425204,4.0
train,quarter,1993,3393,90324.94842322428,69500.0,102221.18890144331,72268.5979289149,11896.24047821903,19202.147120991438,1.0
train,quarter,1993,3427,114416.02188503064,90000.0,124223.16696479518,102316.12877092806,9807.145079764536,19194.216217301553,2.0
train,quarter,1993,4659,143175.5265078343,120000.0,144424.13832233532,122192.50117721067,1248.6118145010216,17189.20698981217,3.0
train,quarter,1993,6637,156744.5556727437,135000.0,151186.24737543619,127961.08479885897,-5558.3082973075225,16051.26971217526,4.0
train,quarter,1994,8000,161214.881125,140000.0,160273.61274372824,129117.90448959591,-941.2683812717416,14656.772499264964,1.0
train,quarter,1994,6488,170695.20530209618,150000.0,167958.01382434624,139024.69528302684,-2737.1914777499323,15334.276550238972,2.0
train,quarter,1994,6040,178431.8488410596,160000.0,177922.52767751328,152536.27107534176,-509.321163546326,16448.878624781442,3.0
train,quarter,1994,5845,184358.76047904193,165000.0,187992.39102042865,170177.18259174275,3633.630541386741,17560.067874400844,4.0
train,quarter,1995,5417,185928.78013660698,166000.0,192469.14423811738,170572.12245918787,6540.364101510408,17668.178437984236,1.0
train,quarter,1995,5232,201781.36792813457,182500.0,204077.21050627274,182792.187877729,2295.8425781381698,14137.378261850583,2.0
train,quarter,1995,7361,217160.22986007336,198000.0,218628.2303069136,195774.2938266935,1468.0004468402406,13741.812416614004,3.0
train,quarter,1995,9279,229247.4732190969,210000.0,227733.596013892,206490.67027074206,-1513.8772052048762,14311.261310709651,4.0
train,quarter,1996,8578,249103.81942177663,227000.0,254197.61456315237,243372.44381793594,5093.795141375753,17128.553493107167,1.0
train,quarter,1996,8258,271808.8499636716,240000.0,269003.428581195,246957.78149110737,-2805.421382476577,19591.0331727301,2.0
train,quarter,1996,8986,294902.20609837526,268000.0,286895.8732264701,270410.33554115245,-8006.332871905146,21301.302810432684,3.0
train,quarter,1996,9097,299094.061998461,270000.0,292952.3979701766,272022.7692209078,-6141.6640282844755,17832.767630591734,4.0
train,quarter,1997,7380,309246.6310298103,295000.0,301790.0885871468,290553.8845294458,-7456.5424426635245,17262.39603781586,1.0
train,quarter,1997,8896,318287.45301258995,302000.0,312620.7530729227,305314.61849278706,-5666.699939667237,15868.11329556891,2.0
train,quarter,1997,7861,311134.0480854853,292000.0,309631.02837699605,301360.9647740544,-1503.0197084892388,15981.672652059462,3.0
train,quarter,1997,7622,292444.9971136185,273000.0,293811.9720383251,280533.39717878733,1366.9749247066416,15067.881863835382,4.0
train,quarter,1998,10117,274910.75447266974,260000.0,269889.10659413,252994.1012895996,-5021.647878539744,14072.195815402567,1.0
train,quarter,1998,11687,264067.2262342774,248000.0,264483.1136550049,247205.4656143007,415.8874207274734,11658.252523225692,2.0
train,quarter,1998,13601,255615.75465039336,239500.0,255522.6548078619,236176.3166986548,-93.099842531469,10796.911139227675,3.0
train,quarter,1998,15690,243464.21077119184,228000.0,245107.3698173548,226643.71818548552,1643.1590461629753,10547.798603639498,4.0
train,quarter,1999,16101,239237.12371902366,225000.0,240710.25131927658,223240.0031623084,1473.1276002529178,10426.863385271245,1.0
train,quarter,1999,17230,247980.17504352872,232000.0,252540.3433922698,231930.24562734054,4560.168348741059,11423.556535371636,2.0
train,quarter,1999,14498,261667.5646985791,245000.0,260483.59919473875,240566.76420528226,-1183.9655038403528,13913.295138109333,3.0
train,quarter,1999,9953,267280.7450015071,252000.0,262386.82551329664,246446.27404012583,-4893.91948821047,14686.820516325017,4.0
train,quarter,2000,7166,269208.9540552609,253000.0,264591.45810177905,249073.3695683349,-4617.495953481894,13696.076375964643,1.0
train,quarter,2000,9061,262483.32159805764,244800.0,257984.2194285869,241986.95740581353,-4499.102169470704,13052.610789560382,2.0
train,quarter,2000,9242,253620.66701146937,235000.0,250744.247248693,233956.65059904684,-2876.4197627763765,12225.831632247955,3.0
train,quarter,2000,9393,249643.61567124454,230000.0,247504.71938922096,229116.63544211522,-2138.896282023607,11678.880504640274,4.0
train,quarter,2001,8822,247589.8590036273,229000.0,242530.20309090443,225573.94200087816,-5059.655912722853,12269.521850640338,1.0
train,quarter,2001,9527,245477.67425632413,226000.0,244453.60482139714,226638.1167844694,-1024.0694349269982,10964.23500482582,2.0
train,quarter,2001,9862,244513.18521192455,227000.0,246184.49829578574,227280.62123019146,1671.3130838611598,11036.180891135662,3.0
train,quarter,2001,9844,236788.2012149533,218000.0,239543.17076692547,220937.5586159926,2754.969551972201,11159.883636202301,4.0
train,quarter,2002,9133,235639.1455162597,215000.0,236577.2108055363,220247.9572296358,938.065289276582,11356.610280715782,1.0
train,quarter,2002,9434,238985.05226203095,220000.0,240003.88515541132,225585.16736556677,1018.83289338039,11864.249142667253,2.0
train,quarter,2002,8860,234040.9730248307,215000.0,234773.61669966346,220586.3416687323,732.6436748327467,11783.80823652479,3.0
train,quarter,2002,8671,230280.06446661285,212000.0,229716.63876070155,216968.74491448727,-563.4257059112887,11932.45290254131,4.0
train,quarter,2003,6833,229687.96472998682,211000.0,232624.91811382966,216554.57530008984,2936.953383842798,12481.003708100596,1.0
train,quarter,2003,6594,228623.8851804671,213000.0,228195.11288302447,215155.9933586456,-428.7722974426262,13404.593231171508,2.0
train,quarter,2003,6891,233420.43651139166,220000.0,232090.01114977,218103.03125060332,-1330.4253616216865,14253.34498552943,3.0
train,quarter,2003,8685,233061.28574208406,220000.0,229881.77769865523,217945.57469218233,-3179.5080434288348,15400.250080750617,4.0
train,quarter,2004,8191,233128.1613575876,221000.0,228414.52742150487,218038.4058432541,-4713.633936082715,16067.927749008004,1.0
train,quarter,2004,6544,238448.0211858191,225000.0,232889.61524992585,221549.56565161288,-5558.405935893216,17251.65574843238,2.0
train,quarter,2004,6941,232836.7017259761,220000.0,229127.50363123248,218032.87273989498,-3709.1980947436255,18387.71444116258,3.0
train,quarter,2004,7436,236709.87439483593,225000.0,233698.3422824393,221679.5009565936,-3011.5321123966505,19497.720770203403,4.0
train,quarter,2005,8047,236374.30383994034,225000.0,228681.4654919086,219358.5380256634,-7692.838348031753,20772.6783967435,1.0
train,quarter,2005,7375,234279.44766372882,225000.0,234409.72281321627,223727.43200322246,130.27514948745628,16343.142235834328,2.0
train,quarter,2005,7446,230689.2366210046,222000.0,235272.13395189753,224668.6654753181,4582.897330892947,13391.59583596243,3.0
train,quarter,2005,7177,235176.76701685943,228000.0,240341.42453839077,228834.7312333869,5164.657521531351,13018.478277259994,4.0
train,quarter,2006,6685,234806.79252056844,226000.0,237211.71559315364,225355.35836683773,2404.923072585191,13059.64326708533,1.0
train,quarter,2006,7045,236882.97333711854,228000.0,238915.65051370655,226737.29833433373,2032.6771765880226,13587.069820804518,2.0
train,quarter,2006,7270,235768.32475928473,228000.0,238027.36295614502,225887.45233582705,2259.03819686028,13465.608014563071,3.0
