category,experiment,evaluation_split,rows,median_target,mae,rmse,r2,mae_percent_of_median,mean_residual_prediction_minus_actual,selectable,training_rows,fit_seconds,notes
hdb,A_current_baseline,validation,53586,570000.0,62799.105504732775,82419.38782769057,0.796676754906686,11.017386930654872,-60217.18899856943,True,889599,10.743055625003763,Milestone 4 reference
hdb,B_lagged_rpi,validation,53586,570000.0,52309.41405798377,74276.01280555075,0.8348702100511074,9.177090185611187,-45720.363001752994,True,886011,11.295921708020614,
hdb,C_lagged_rpi_no_mrt,validation,53586,570000.0,54494.23343426966,77652.50046796152,0.8195158147016905,9.560391830573625,-47210.81102108037,True,886011,11.185177667008247,
hdb,D_month_index_lagged_rpi,validation,53586,570000.0,50828.56858976954,71634.4150611569,0.8464069015579898,8.917292735047287,-44024.43370368754,True,886011,10.438545457989676,
hdb,E_rpi_scaled_target_with_mrt,validation,53586,570000.0,30194.435198910323,42581.334092349214,0.9457291290197929,5.297269333142162,6859.303475872139,True,886011,11.245552250009496,Target modeled in constant lagged-RPI units
hdb,F_rpi_scaled_target_no_mrt,validation,53586,570000.0,34390.013270087526,48953.87302750587,0.9282697445018429,6.033335661418865,6056.0516863311095,True,886011,11.066707583988318,Target modeled in constant lagged-RPI units
hdb,diagnostic_contemporaneous_rpi,validation,53586,570000.0,51398.67114733604,72835.1538732509,0.8412146803190246,9.017310727602814,-45069.893287145554,False,889599,11.489050500007579,Historical diagnostic only; prohibited for production
ec,A_current_ridge,validation,3245,1456000.0,86251.00909072376,106616.47686900875,0.8549410578685622,5.923833041945314,45973.52957329304,True,7418,0.031659958011005074,
ec,B_time_index_ridge,validation,3245,1456000.0,84371.37168514992,105986.44067021077,0.8566504062071172,5.794737066287769,38060.25887910771,True,7418,0.021795707987621427,
ec,C_time_index_ridge_rare_project,validation,3245,1456000.0,89800.58604641462,111771.02615676774,0.8405757700769885,6.1676226680229815,49583.060606422725,True,7418,0.02400254100211896,Project grouping fitted from training counts only
ec,D_time_index_hist_gradient_boosting,validation,3245,1456000.0,110767.3198149176,150642.97376574483,0.7104032977276236,7.607645591683901,-98543.15264951874,True,7418,1.5996490420075133,
landed,A_current_hist_gradient_boosting,validation,1694,4428000.0,797671.3414084649,1446521.6956824197,0.8848314453525671,18.01425793605386,-392651.55129268585,True,3825,1.522370500024408,
landed,B_time_index_hist_gradient_boosting,validation,1694,4428000.0,794896.9032230661,1474764.778062173,0.880290249280703,17.951601247133382,-361282.60236459755,True,3825,1.9138032080081757,
landed,C_time_index_log_target,validation,1694,4428000.0,780251.4155233795,1428732.3073818139,0.8876467230802053,17.620854009109742,-348538.70585809986,True,3825,1.679490665992489,Evaluated in original SGD after inverse transformation
